rfp_group,rfp_name,curryr_rev,prevyr_rev,growth,volume_tier,growth_tier,rebate_rate,rebate,,,total_rev,rebate,net_rev,
618,RFP_NAME_A,14760.14,12308.27,0.199205087,V1,G2,0.03,442.8042,,,,,,
619,RFP_NAME_A,0,0,,,,0,0,,,,,,
629,RFP_NAME_A,539.38,410.68,0.313382682,,G3,0,0,,,,,,
641,RFP_NAME_A,8268.72,0,inf,,,0,0,,,,,,
651,RFP_NAME_A,7755.69,8151.13,-0.048513519,,,0,0,,,,,,
659,RFP_NAME_A,0,0,,,,0,0,,,,,,
661,RFP_NAME_A,10790.13,13067.07,-0.174250234,V1,,0,0,,,,,,
662,RFP_NAME_A,3377.82,2497.04,0.352729632,,G3,0,0,,,,,,
663,RFP_NAME_A,2689.22,3550.19,-0.242513781,,,0,0,,,,,,
666,RFP_NAME_A,10955.75,10693.32,0.024541489,V1,,0,0,,,,,,
669,RFP_NAME_A,1625.25,862.71,0.88388914,,G3,0,0,,,,,,
678,RFP_NAME_A,4848.89,4901.69,-0.010771795,,,0,0,,,,,,
686,RFP_NAME_A,6514.2,5531.43,0.17767015,,G2,0,0,,,,,,
689,RFP_NAME_A,1444.22,925.91,0.559784428,,G3,0,0,,,,,,
697,RFP_NAME_A,0,0,,,,0,0,,,,,,
705,RFP_NAME_A,1163.21,1383.26,-0.159080722,,,0,0,,,,,,
713,RFP_NAME_A,3547.44,6528.48,-0.456620837,,,0,0,,,,,,
718,RFP_NAME_A,0,0,,,,0,0,,,,,,
721,RFP_NAME_A,1955.93,1907.81,0.025222637,,,0,0,,,,,,
734,RFP_NAME_A,0,0,,,,0,0,,,,,,
755,RFP_NAME_A,421.18,277.5,0.517765766,,G3,0,0,,,,,,
761,RFP_NAME_A,12291.22,9909.15,0.240390952,V1,G3,0.05,614.561,,,,,,
762,RFP_NAME_A,6623.53,5593.66,0.1841138,,G2,0,0,,,,,,
764,RFP_NAME_A,9207.86,8087.1,0.138586143,V1,G1,0.01,92.0786,,,,,,
768,RFP_NAME_A,7242.77,6975.28,0.038348281,,,0,0,,,,,,
772,RFP_NAME_A,2515.46,3273.7,-0.231615603,,,0,0,,,,,,
780,RFP_NAME_A,436.18,66.43,5.566009333,,G3,0,0,,,,,,
784,RFP_NAME_A,1116.95,1136.58,-0.017271112,,,0,0,,,,,,
788,RFP_NAME_A,4718.58,3486.58,0.353354864,,G3,0,0,,,,,,
806,RFP_NAME_A,1705.81,2595.08,-0.34267537,,,0,0,,,,,,
833,RFP_NAME_A,0,0,,,,0,0,,,,,,
837,RFP_NAME_A,19670.33,19933.92,-0.013223189,V2,,0,0,,,,,,
842,RFP_NAME_A,665.28,135.92,3.894643908,,G3,0,0,,,,,,
845,RFP_NAME_A,1808.18,3219.24,-0.438320846,,,0,0,,,,,,
846,RFP_NAME_A,98.36,0,inf,,,0,0,,,,,,
864,RFP_NAME_A,3863.14,1745.95,1.212629228,,G3,0,0,,,,,,
868,RFP_NAME_A,0,0,,,,0,0,,,,,,
929,RFP_NAME_A,0,0,,,,0,0,,,,,,
930,RFP_NAME_A,3626.8,5860.09,-0.381101655,,,0,0,,,,,,
931,RFP_NAME_A,15021.88,13799.94,0.088546762,V2,G1,0.04,600.8752,,,,,,
933,RFP_NAME_A,3266.3,3314.85,-0.014646213,,,0,0,,,,,,
940,RFP_NAME_A,3504.1,4575.63,-0.23418196,,,0,0,,,,,,
941,RFP_NAME_A,19888.76,18750.78,0.060689742,V2,,0,0,,,,,,
945,RFP_NAME_A,21335.54,23730.72,-0.100931619,V2,,0,0,,,,,,
964,RFP_NAME_A,6449.93,6619.47,-0.025612322,,,0,0,,,,,,
972,RFP_NAME_A,52996.86,58492.94,-0.093961425,V4,,0,0,,,,,,
981,RFP_NAME_A,5027.83,7035.88,-0.2854014,,,0,0,,,,,,
993,RFP_NAME_A,923.29,934.09,-0.011562055,,,0,0,,,,,,
996,RFP_NAME_A,8412.69,9152.83,-0.080864607,,,0,0,,,,,,
999,RFP_NAME_A,626.68,1653.9,-0.621089546,,,0,0,,,,,,
1020,RFP_NAME_A,10273.86,8119.86,0.26527551,V1,G3,0.05,513.693,,,,,,
1027,RFP_NAME_A,6106.89,11836.03,-0.484042369,,,0,0,,,,,,
1034,RFP_NAME_A,4288.94,7168.4,-0.401687964,,,0,0,,,,,,
1035,RFP_NAME_A,359.92,751.7,-0.521191965,,,0,0,,,,,,
1038,RFP_NAME_A,5790.04,5898.72,-0.018424336,,,0,0,,,,,,
1062,RFP_NAME_A,435.91,542,-0.195738007,,,0,0,,,,,,
1063,RFP_NAME_A,0,0,,,,0,0,,,,,,
1066,RFP_NAME_A,241.78,471.55,-0.487265401,,,0,0,,,,,,
1071,RFP_NAME_A,3305.27,1492.35,1.214808859,,G3,0,0,,,,,,
1072,RFP_NAME_A,0,0,,,,0,0,,,,,,
1078,RFP_NAME_A,1153.17,1884.36,-0.38803095,,,0,0,,,,,,
1080,RFP_NAME_A,0,0,,,,0,0,,,,,,
1083,RFP_NAME_A,5092.52,6481.53,-0.214302796,,,0,0,,,,,,
1105,RFP_NAME_A,3117.46,3687.22,-0.15452292,,,0,0,,,,,,
1106,RFP_NAME_A,0,0,,,,0,0,,,,,,
1108,RFP_NAME_A,0,64.48,-1,,,0,0,,,,,,
1125,RFP_NAME_A,11542.01,10370.55,0.112960258,V1,G1,0.01,115.4201,,,,,,
1127,RFP_NAME_A,803.39,600.2,0.338537154,,G3,0,0,,,,,,
1130,RFP_NAME_A,8662.87,12353.62,-0.298758583,,,0,0,,,,,,
1133,RFP_NAME_A,6912.92,13519.9,-0.488685567,,,0,0,,,,,,
1145,RFP_NAME_A,229.77,229.77,0,,,0,0,,,,,,
1153,RFP_NAME_A,392.61,1003.22,-0.608650147,,,0,0,,,,,,
1160,RFP_NAME_A,798.03,1060.16,-0.247255131,,,0,0,,,,,,
1161,RFP_NAME_A,7800.11,6438.17,0.211541478,,G3,0,0,,,,,,
1173,RFP_NAME_A,4426.67,4124.44,0.073277827,,,0,0,,,,,,
1183,RFP_NAME_A,0,355.98,-1,,,0,0,,,,,,
1192,RFP_NAME_A,2587.52,2708.07,-0.044515097,,,0,0,,,,,,
1193,RFP_NAME_A,8825.92,6531.2,0.351347379,,G3,0,0,,,,,,
1196,RFP_NAME_A,0,0,,,,0,0,,,,,,
1205,RFP_NAME_A,1284.2,2658.74,-0.516989251,,,0,0,,,,,,
1213,RFP_NAME_A,2751.43,2689.8,0.022912484,,,0,0,,,,,,
1221,RFP_NAME_A,1810.68,3879.61,-0.533282985,,,0,0,,,,,,
1225,RFP_NAME_A,2733.06,2612.34,0.046211443,,,0,0,,,,,,
1226,RFP_NAME_A,10835.56,9011.87,0.202365325,V1,G3,0.05,541.778,,,,,,
1229,RFP_NAME_A,0,0,,,,0,0,,,,,,
1235,RFP_NAME_A,14972.82,13016.1,0.150330744,V1,G2,0.03,449.1846,,,,,,
1252,RFP_NAME_A,1279.91,1730.58,-0.260415583,,,0,0,,,,,,
1255,RFP_NAME_A,2206.07,2819.21,-0.217486459,,,0,0,,,,,,
1260,RFP_NAME_A,606.32,899.6,-0.326011561,,,0,0,,,,,,
1266,RFP_NAME_A,3253.52,4936.13,-0.340876355,,,0,0,,,,,,
1269,RFP_NAME_A,921.12,878.19,0.048884638,,,0,0,,,,,,
1275,RFP_NAME_A,0,0,,,,0,0,,,,,,
1283,RFP_NAME_A,2379.02,4911.48,-0.515620546,,,0,0,,,,,,
1290,RFP_NAME_A,9009.94,9838.51,-0.084217021,V1,,0,0,,,,,,
1304,RFP_NAME_A,1382.25,1955.33,-0.293086078,,,0,0,,,,,,
1309,RFP_NAME_A,693.58,1827.01,-0.620374273,,,0,0,,,,,,
1313,RFP_NAME_A,0,0,,,,0,0,,,,,,
1322,RFP_NAME_A,0,0,,,,0,0,,,,,,
1330,RFP_NAME_A,0,0,,,,0,0,,,,,,
1333,RFP_NAME_A,6216.84,6373.71,-0.024612039,,,0,0,,,,,,
1355,RFP_NAME_A,9194.34,11718.31,-0.21538686,V1,,0,0,,,,,,
1360,RFP_NAME_A,3184.32,4165.49,-0.235547319,,,0,0,,,,,,
1367,RFP_NAME_A,2278.4,1864.73,0.221839087,,G3,0,0,,,,,,
1371,RFP_NAME_A,3831.53,7138.77,-0.463278688,,,0,0,,,,,,
1374,RFP_NAME_A,12044.91,17768.05,-0.322102876,V1,,0,0,,,,,,
1376,RFP_NAME_A,0,0,,,,0,0,,,,,,
1383,RFP_NAME_A,2439.08,4116.35,-0.407465352,,,0,0,,,,,,
1385,RFP_NAME_A,31717.66,34879.67,-0.090654814,V3,,0,0,,,,,,
1399,RFP_NAME_A,3381.34,3941.57,-0.142133718,,,0,0,,,,,,
1404,RFP_NAME_A,4242.39,3540.68,0.198185094,,G2,0,0,,,,,,
1405,RFP_NAME_A,503.16,241.78,1.081065431,,G3,0,0,,,,,,
1408,RFP_NAME_A,3828.14,2982.8,0.283404854,,G3,0,0,,,,,,
1409,RFP_NAME_A,448.71,1567.34,-0.713712404,,,0,0,,,,,,
1410,RFP_NAME_A,906.36,136.76,5.627376426,,G3,0,0,,,,,,
1425,RFP_NAME_A,0,0,,,,0,0,,,,,,
1433,RFP_NAME_A,81.1,474.54,-0.829097652,,,0,0,,,,,,
1434,RFP_NAME_A,0,0,,,,0,0,,,,,,
1443,RFP_NAME_A,2935.34,2866.79,0.023911762,,,0,0,,,,,,
1449,RFP_NAME_A,0,0,,,,0,0,,,,,,
1450,RFP_NAME_A,311.06,0,inf,,,0,0,,,,,,
1451,RFP_NAME_A,966.14,543.64,0.777168715,,G3,0,0,,,,,,
1452,RFP_NAME_A,11316.05,13171.27,-0.14085354,V1,,0,0,,,,,,
1458,RFP_NAME_A,15557.55,11721.48,0.3272684,V2,G3,0.07,1089.0285,,,,,,
1472,RFP_NAME_A,0,0,,,,0,0,,,,,,
1473,RFP_NAME_A,40357.71,38307.58,0.053517607,V3,,0,0,,,,,,
1480,RFP_NAME_A,876.76,1759.88,-0.501806941,,,0,0,,,,,,
1485,RFP_NAME_A,10003.65,10404.05,-0.038485013,V1,,0,0,,,,,,
1491,RFP_NAME_A,2256.14,0,inf,,,0,0,,,,,,
1492,RFP_NAME_A,68.38,179.96,-0.620026673,,,0,0,,,,,,
1497,RFP_NAME_A,3240.83,2684.74,0.207129927,,G3,0,0,,,,,,
1507,RFP_NAME_A,0,852,-1,,,0,0,,,,,,
1511,RFP_NAME_A,4326.24,4029.6,0.073615247,,,0,0,,,,,,
1515,RFP_NAME_A,4923.81,4831.77,0.01904892,,,0,0,,,,,,
1518,RFP_NAME_A,0,0,,,,0,0,,,,,,
1522,RFP_NAME_A,2507.53,3745.86,-0.330586301,,,0,0,,,,,,
1528,RFP_NAME_A,7015.47,2627.83,1.669681829,,G3,0,0,,,,,,
1538,RFP_NAME_A,56185.84,36346.62,0.545833973,V4,G3,0.11,6180.4424,,,,,,
1545,RFP_NAME_A,0,2829.11,-1,,,0,0,,,,,,
1546,RFP_NAME_A,6389.43,5757.77,0.109705667,,G1,0,0,,,,,,
1547,RFP_NAME_A,4511.15,4069.87,0.108426068,,G1,0,0,,,,,,
1550,RFP_NAME_A,252.22,210.8,0.196489564,,G2,0,0,,,,,,
1562,RFP_NAME_A,4080.02,5004.78,-0.184775355,,,0,0,,,,,,
1564,RFP_NAME_A,0,0,,,,0,0,,,,,,
1569,RFP_NAME_A,0,128.96,-1,,,0,0,,,,,,
1575,RFP_NAME_A,29241.4,28832.66,0.014176285,V3,,0,0,,,,,,
1576,RFP_NAME_A,2753.01,2716.2,0.013552021,,,0,0,,,,,,
1579,RFP_NAME_A,0,0,,,,0,0,,,,,,
1584,RFP_NAME_A,7231.55,7410.95,-0.024207423,,,0,0,,,,,,
1586,RFP_NAME_A,2372.18,2691.98,-0.118797316,,,0,0,,,,,,
1589,RFP_NAME_A,0,2140.19,-1,,,0,0,,,,,,
1593,RFP_NAME_A,1414.48,2521.68,-0.439072364,,,0,0,,,,,,
1594,RFP_NAME_A,10743.18,11576.81,-0.07200861,V1,,0,0,,,,,,
1596,RFP_NAME_A,6201.5,3974.92,0.560157186,,G3,0,0,,,,,,
1597,RFP_NAME_A,7339.51,5323.18,0.378782983,,G3,0,0,,,,,,
1603,RFP_NAME_A,22605.96,21194.91,0.066574947,V3,,0,0,,,,,,
1606,RFP_NAME_A,180.73,399.1,-0.547156101,,,0,0,,,,,,
1607,RFP_NAME_A,342.75,128.96,1.657800868,,G3,0,0,,,,,,
1608,RFP_NAME_A,925.13,1878.46,-0.507506149,,,0,0,,,,,,
1614,RFP_NAME_A,1289.95,1163.6,0.108585425,,G1,0,0,,,,,,
1616,RFP_NAME_A,4737.21,6226.21,-0.239150302,,,0,0,,,,,,
1618,RFP_NAME_A,2029.26,1737.99,0.167590147,,G2,0,0,,,,,,
1629,RFP_NAME_A,3358.61,3650.06,-0.079848002,,,0,0,,,,,,
1634,RFP_NAME_A,1580.93,1550.05,0.019921938,,,0,0,,,,,,
1637,RFP_NAME_A,26506.69,20558.31,0.289341877,V3,G3,0.07,1855.4683,,,,,,
1638,RFP_NAME_A,5136.32,4862.06,0.056408189,,,0,0,,,,,,
1641,RFP_NAME_A,7025.09,7421.98,-0.053474949,,,0,0,,,,,,
1646,RFP_NAME_A,3085.05,5350.35,-0.423392862,,,0,0,,,,,,
1649,RFP_NAME_A,153.18,821.36,-0.813504432,,,0,0,,,,,,
1650,RFP_NAME_A,0,-98.36,-1,,,0,0,,,,,,
1652,RFP_NAME_A,0,0,,,,0,0,,,,,,
1653,RFP_NAME_A,0,0,,,,0,0,,,,,,
1656,RFP_NAME_A,2550.04,3528.47,-0.277295825,,,0,0,,,,,,
1657,RFP_NAME_A,463,1288.92,-0.640784533,,,0,0,,,,,,
1659,RFP_NAME_A,583.68,848.7,-0.312265818,,,0,0,,,,,,
1660,RFP_NAME_A,1254.28,3187.26,-0.606470762,,,0,0,,,,,,
1661,RFP_NAME_A,0,0,,,,0,0,,,,,,
1664,RFP_NAME_A,0,308.92,-1,,,0,0,,,,,,
1670,RFP_NAME_A,0,0,,,,0,0,,,,,,
1672,RFP_NAME_A,0,219.25,-1,,,0,0,,,,,,
1673,RFP_NAME_A,1054.04,1109.72,-0.050174819,,,0,0,,,,,,
1675,RFP_NAME_A,8594.14,9069.3,-0.052392136,,,0,0,,,,,,
1684,RFP_NAME_A,0,0,,,,0,0,,,,,,
1685,RFP_NAME_A,5687.39,8403.12,-0.323181152,,,0,0,,,,,,
1686,RFP_NAME_A,7177.42,7763.75,-0.075521494,,,0,0,,,,,,
1687,RFP_NAME_A,0,0,,,,0,0,,,,,,
1690,RFP_NAME_A,1687.04,837.36,1.014712907,,G3,0,0,,,,,,
1692,RFP_NAME_A,2302.96,1935.86,0.189631482,,G2,0,0,,,,,,
1697,RFP_NAME_A,0,0,,,,0,0,,,,,,
1698,RFP_NAME_A,983.13,1489.73,-0.340061622,,,0,0,,,,,,
1700,RFP_NAME_A,2478.6,2729.75,-0.092004762,,,0,0,,,,,,
1702,RFP_NAME_A,6424.39,5563.68,0.154701564,,G2,0,0,,,,,,
1704,RFP_NAME_A,0,0,,,,0,0,,,,,,
1705,RFP_NAME_A,9149.28,7119.18,0.285159246,V1,G3,0.05,457.464,,,,,,
1707,RFP_NAME_A,118.66,0,inf,,,0,0,,,,,,
1709,RFP_NAME_A,11565.56,18089.8,-0.360658493,V1,,0,0,,,,,,
1729,RFP_NAME_A,0,0,,,,0,0,,,,,,
1730,RFP_NAME_A,1334.46,1402.77,-0.048696508,,,0,0,,,,,,
1739,RFP_NAME_A,4391.27,3501.89,0.253971427,,G3,0,0,,,,,,
1741,RFP_NAME_A,4076.53,6179.87,-0.340353438,,,0,0,,,,,,
1755,RFP_NAME_A,1289.1,2784.86,-0.537104199,,,0,0,,,,,,
1757,RFP_NAME_A,3779.56,5284.89,-0.284836581,,,0,0,,,,,,
1768,RFP_NAME_A,1776.2,412.44,3.306565804,,G3,0,0,,,,,,
1770,RFP_NAME_A,0,0,,,,0,0,,,,,,
1775,RFP_NAME_A,0,0,,,,0,0,,,,,,
1776,RFP_NAME_A,0,0,,,,0,0,,,,,,
1779,RFP_NAME_A,7184.14,7196.65,-0.001738309,,,0,0,,,,,,
1788,RFP_NAME_A,19046.02,19481.47,-0.022352009,V2,,0,0,,,,,,
1794,RFP_NAME_A,0,0,,,,0,0,,,,,,
1795,RFP_NAME_A,3843.88,5526.44,-0.304456395,,,0,0,,,,,,
1797,RFP_NAME_A,7239.56,6493.03,0.114974057,,G1,0,0,,,,,,
1802,RFP_NAME_A,6971.69,6405.56,0.088381031,,G1,0,0,,,,,,
1806,RFP_NAME_A,718.22,683.76,0.0503978,,,0,0,,,,,,
1808,RFP_NAME_A,0,0,,,,0,0,,,,,,
1810,RFP_NAME_A,2378.41,1562.8,0.521890197,,G3,0,0,,,,,,
1813,RFP_NAME_A,0,0,,,,0,0,,,,,,
1818,RFP_NAME_A,1460.35,3100.03,-0.528923914,,,0,0,,,,,,
1821,RFP_NAME_A,0,0,,,,0,0,,,,,,
1826,RFP_NAME_A,2586.64,2168.94,0.192582552,,G2,0,0,,,,,,
1831,RFP_NAME_A,0,0,,,,0,0,,,,,,
1836,RFP_NAME_A,3885.33,3198.95,0.214564154,,G3,0,0,,,,,,
1842,RFP_NAME_A,3969.58,4243.51,-0.064552693,,,0,0,,,,,,
1846,RFP_NAME_A,3209.98,2418.35,0.327343023,,G3,0,0,,,,,,
1848,RFP_NAME_A,0,0,,,,0,0,,,,,,
1853,RFP_NAME_A,14928.08,15754.34,-0.0524465,V1,,0,0,,,,,,
1857,RFP_NAME_A,14619.99,11589.4,0.261496713,V1,G3,0.05,730.9995,,,,,,
1859,RFP_NAME_A,1518.75,2538.14,-0.401628752,,,0,0,,,,,,
1862,RFP_NAME_A,447.52,370.39,0.208239963,,G3,0,0,,,,,,
1866,RFP_NAME_A,0,0,,,,0,0,,,,,,
1877,RFP_NAME_A,0,0,,,,0,0,,,,,,
1886,RFP_NAME_A,1145.69,1690.71,-0.322361611,,,0,0,,,,,,
1887,RFP_NAME_A,454.68,743.01,-0.388056688,,,0,0,,,,,,
1889,RFP_NAME_A,4871.59,4552.69,0.0700465,,,0,0,,,,,,
1890,RFP_NAME_A,4731.81,4132.29,0.145081783,,G1,0,0,,,,,,
1891,RFP_NAME_A,6949.12,8710.78,-0.202239065,,,0,0,,,,,,
1892,RFP_NAME_A,15517.89,19806.14,-0.216511143,V2,,0,0,,,,,,
1894,RFP_NAME_A,12020.68,9307.25,0.291539391,V1,G3,0.05,601.034,,,,,,
1896,RFP_NAME_A,-59.33,776.6,-1.076397116,,,0,0,,,,,,
1897,RFP_NAME_A,0,0,,,,0,0,,,,,,
1902,RFP_NAME_A,2973.38,2723.1,0.091909956,,G1,0,0,,,,,,
1903,RFP_NAME_A,0,6659.44,-1,,,0,0,,,,,,
1904,RFP_NAME_A,3280.49,3731.19,-0.120792562,,,0,0,,,,,,
1905,RFP_NAME_A,709.28,815.16,-0.129888611,,,0,0,,,,,,
1906,RFP_NAME_A,0,1102.67,-1,,,0,0,,,,,,
1908,RFP_NAME_A,1812.37,2488.08,-0.271578888,,,0,0,,,,,,
1909,RFP_NAME_A,15345.93,14838.23,0.034215671,V2,,0,0,,,,,,
1914,RFP_NAME_A,26235.9,33294.12,-0.211995992,V3,,0,0,,,,,,
1915,RFP_NAME_A,2650.44,3902.31,-0.320802294,,,0,0,,,,,,
1916,RFP_NAME_A,2122.56,1980.35,0.071810539,,,0,0,,,,,,
1926,RFP_NAME_A,2710.87,2087.66,0.298520832,,G3,0,0,,,,,,
1929,RFP_NAME_A,4128.71,2934.08,0.407156587,,G3,0,0,,,,,,
1931,RFP_NAME_A,1464.26,1242.91,0.178090127,,G2,0,0,,,,,,
1933,RFP_NAME_A,5136.93,4073.06,0.261196742,,G3,0,0,,,,,,
1936,RFP_NAME_A,288.7,345.72,-0.164931158,,,0,0,,,,,,
1937,RFP_NAME_A,0,0,,,,0,0,,,,,,
1939,RFP_NAME_A,3691,3275.91,0.12670983,,G1,0,0,,,,,,
1940,RFP_NAME_A,0,0,,,,0,0,,,,,,
1942,RFP_NAME_A,3653.97,5486.41,-0.333996183,,,0,0,,,,,,
1945,RFP_NAME_A,4400.11,3709.93,0.186035855,,G2,0,0,,,,,,
1948,RFP_NAME_A,6024.23,3947.15,0.526222718,,G3,0,0,,,,,,
1953,RFP_NAME_A,246.82,713.94,-0.654284674,,,0,0,,,,,,
1963,RFP_NAME_A,0,0,,,,0,0,,,,,,
1976,RFP_NAME_A,1051.09,2187.31,-0.519459976,,,0,0,,,,,,
1977,RFP_NAME_A,4597.85,5314.18,-0.134795961,,,0,0,,,,,,
1979,RFP_NAME_A,873.02,1567.32,-0.442985478,,,0,0,,,,,,
1989,RFP_NAME_A,7583.94,11414.66,-0.335596505,,,0,0,,,,,,
1990,RFP_NAME_A,3439.41,3308.57,0.039545786,,,0,0,,,,,,
2104,RFP_NAME_A,333.7,3123.8,-0.893174979,,,0,0,,,,,,
2119,RFP_NAME_A,0,0,,,,0,0,,,,,,
2130,RFP_NAME_A,0,0,,,,0,0,,,,,,
2131,RFP_NAME_A,0,0,,,,0,0,,,,,,
2133,RFP_NAME_A,14444.34,15915.54,-0.092437957,V1,,0,0,,,,,,
2136,RFP_NAME_A,0,0,,,,0,0,,,,,,
2141,RFP_NAME_A,722.26,1054.53,-0.315088238,,,0,0,,,,,,
2150,RFP_NAME_A,0,0,,,,0,0,,,,,,
2153,RFP_NAME_A,1026.95,572.43,0.794018483,,G3,0,0,,,,,,
2176,RFP_NAME_A,3512.86,3540.85,-0.007904882,,,0,0,,,,,,
2185,RFP_NAME_A,177.99,460.13,-0.613174538,,,0,0,,,,,,
2194,RFP_NAME_A,40909.37,47109.4,-0.131609191,V3,,0,0,,,,,,
2203,RFP_NAME_A,3019.37,2848.54,0.059971073,,,0,0,,,,,,
2209,RFP_NAME_A,1226.1,3262.65,-0.624201186,,,0,0,,,,,,
2213,RFP_NAME_A,0,0,,,,0,0,,,,,,
2230,RFP_NAME_A,701.3,2378.72,-0.705177574,,,0,0,,,,,,
2239,RFP_NAME_A,5220.78,3022.27,0.727436662,,G3,0,0,,,,,,
2240,RFP_NAME_A,4336.19,3502.46,0.238041262,,G3,0,0,,,,,,
2242,RFP_NAME_A,19861.51,13688.94,0.450916579,V2,G3,0.07,1390.3057,,,,,,
2245,RFP_NAME_A,0,0,,,,0,0,,,,,,
2251,RFP_NAME_A,0,0,,,,0,0,,,,,,
2252,RFP_NAME_A,902.35,1597.93,-0.43530067,,,0,0,,,,,,
2253,RFP_NAME_A,12051.14,11869.76,0.015280848,V1,,0,0,,,,,,
2259,RFP_NAME_A,0,0,,,,0,0,,,,,,
